Path,Action,OCR Result,Confidence,Datetime,Marker
img_ocr/ocr/2025-01-16/BE8497UC_94.0_Masuk_2025-01-16_15:15:40.png,Masuk,BE8497UC,94.0,2025-01-16 15:15:40,MARKED
img_ocr/ocr/2025-01-16/BE8497UC_94.0_Masuk_2025-01-16_15:29:34.png,Masuk,BE8497UC,94.0,2025-01-16 15:29:34,MARKED
img_ocr/ocr/2025-01-16/B9504KDC_92.0_Masuk_2025-01-16_15:57:49.png,Masuk,B9504KDC,92.0,2025-01-16 15:57:49,
img_ocr/ocr/2025-01-16/B9400KCA_90.0_Keluar_2025-01-16_15:59:02.png,Keluar,B9400KCA,90.0,2025-01-16 15:59:02,
img_ocr/ocr/2025-01-16/B9120NY_91.0_Masuk_2025-01-16_15:59:34.png,Masuk,B9120NY,91.0,2025-01-16 15:59:34,
img_ocr/ocr/2025-01-16/B9129KOQ_84.0_Masuk_2025-01-16_16:00:35.png,Masuk,B9129KOQ,84.0,2025-01-16 16:00:35,
img_ocr/ocr/2025-01-16/BE808AMK_94.0_Masuk_2025-01-16_16:02:12.png,Masuk,BE808AMK,94.0,2025-01-16 16:02:12,
img_ocr/ocr/2025-01-16/B9511BIR_90.0_Keluar_2025-01-16_16:03:38.png,Keluar,B9511BIR,90.0,2025-01-16 16:03:38,
img_ocr/ocr/2025-01-16/B9181LD_97.0_Masuk_2025-01-16_16:06:29.png,Masuk,B9181LD,97.0,2025-01-16 16:06:29,
img_ocr/ocr/2025-01-16/B9248OY_90.0_Keluar_2025-01-16_16:06:52.png,Keluar,B9248OY,90.0,2025-01-16 16:06:52,
img_ocr/ocr/2025-01-16/B2249VTT_87.0_Masuk_2025-01-16_16:07:31.png,Masuk,B2249VTT,87.0,2025-01-16 16:07:31,
img_ocr/ocr/2025-01-16/B9400KCA_0.96_Masuk_2025-01-16_16:08:38.png,Masuk,B9400KCA,0.96,2025-01-16 16:08:38,
img_ocr/ocr/2025-01-16/BE9810BN_0.9_Keluar_2025-01-16_16:09:23.png,Keluar,BE9810BN,0.9,2025-01-16 16:09:23,MARKED
img_ocr/ocr/2025-01-16/BE9810BN_0.9_Keluar_2025-01-16_16:10:44.png,Keluar,BE9810BN,0.9,2025-01-16 16:10:44,MARKED
img_ocr/ocr/2025-01-16/BE9810BN_0.9_Keluar_2025-01-16_16:12:11.png,Keluar,BE9810BN,0.9,2025-01-16 16:12:11,MARKED
img_ocr/ocr/2025-01-16/BE9810BN_0.9_Keluar_2025-01-16_16:13:32.png,Keluar,BE9810BN,0.9,2025-01-16 16:13:32,MARKED
img_ocr/ocr/2025-01-16/BE9810BN_0.9_Keluar_2025-01-16_16:15:11.png,Keluar,BE9810BN,0.9,2025-01-16 16:15:11,MARKED
img_ocr/ocr/2025-01-16/BE9810BN_0.9_Keluar_2025-01-16_16:15:59.png,Keluar,BE9810BN,0.9,2025-01-16 16:15:59,MARKED
img_ocr/ocr/2025-01-16/A9869ZA_0.97_Masuk_2025-01-16_16:18:01.png,Masuk,A9869ZA,0.97,2025-01-16 16:18:01,
img_ocr/ocr/2025-01-16/A9869ZA_0.97_Masuk_2025-01-16_16:22:17.png,Masuk,A9869ZA,0.97,2025-01-16 16:22:17,
img_ocr/ocr/2025-01-16/A9869ZA_0.97_Masuk_2025-01-16_16:23:22.png,Masuk,A9869ZA,0.97,2025-01-16 16:23:22,
img_ocr/ocr/2025-01-16/B9504KDC_0.94_Masuk_2025-01-16_16:23:48.png,Masuk,B9504KDC,0.94,2025-01-16 16:23:48,
img_ocr/ocr/2025-01-16/B9504KDC_0.94_Masuk_2025-01-16_16:25:52.png,Masuk,B9504KDC,0.94,2025-01-16 16:25:52,
img_ocr/ocr/2025-01-16/BE8497UC_0.92_Masuk_2025-01-16_16:26:08.png,Masuk,BE8497UC,0.92,2025-01-16 16:26:08,MARKED
img_ocr/ocr/2025-01-16/B9782UIY_0.94_Masuk_2025-01-16_16:26:25.png,Masuk,B9782UIY,0.94,2025-01-16 16:26:25,
